Name,Year,Type,Notable Commanders,Warships_sunk_n_total_loss_No,Warships_sunk_n_total_loss_Tons-n-GRT,Warships_Damaged_No,Warships_Damaged_Tons-n-GRT,Merchant_Ships_sunk_No,Merchant_Ships_sunk_GRT,Merchant_Ships_damaged_No,Merchant_Ships_damaged_GRT,Merchant_Ships_total_loss_No,Merchant_Ships_total_loss_GRT,Fate_Event,Fate_Date,Notes,URL,Commissioned,Patrols,Wolfpacks,Flotilla,Lifespan,event,notable
U-547,1943,IXC/40,NA,1,750,0,0,2,8371,0,0,0,0,Scuttled,1944-12-31,Damaged & out of service,https://en.wikipedia.org/wiki/German_submarine_U-547,1943-06-16,3,NA,"{'4th U-boat Flotilla': ['16 June ', ' 31 December 1943'], '2nd U-boat Flotilla': ['1 January ', ' 30 September 1944'], '33rd U-boat Flotilla': ['1 October ', ' 31 December 1944']}",564,1,0
U-548,1943,IXC/40,NA,1,1445,0,0,0,0,0,0,0,0,Sunk,1945-04-19,Reuben James and Buckley,https://en.wikipedia.org/wiki/German_submarine_U-548,1943-06-30,4,NA,"{'4th U-boat Flotilla': ['30 June 1943 ', ' 31 March 1944'], '2nd U-boat Flotilla': ['1 April ', ' 30 September 1944'], '33rd U-boat Flotilla': ['1 October 1944 ', ' 19 April 1945']}",659,1,0
U-549,1943,IXC/40,NA,1,9393,1,1300,0,0,0,0,0,0,Sunk,1944-05-29,USS Eugene E. Elmore and USS Ahrens,https://en.wikipedia.org/wiki/German_submarine_U-549,1943-07-14,2,"{'Igel 1': ['3', '17 February 1944'], 'Hai 1': ['17', '22 February 1944'], 'Preussen': ['22 February', '22 March 1944']}","{'4th U-boat Flotilla': ['14 July ', ' 31 December 1943'], '10th U-boat Flotilla': ['1 January ', ' 29 May 1944']}",320,1,0
U-550,1943,IXC/40,NA,0,0,0,0,1,11017,0,0,0,0,Sunk,1944-04-16,"USS Joyce, USS Peterson and USS Gandy",https://en.wikipedia.org/wiki/German_submarine_U-550,1943-07-28,1,NA,"{'4th U-boat Flotilla': ['28 July 1943 ', ' 31 January 1944'], '10th U-boat Flotilla': ['1 February ', ' 16 April 1944']}",263,1,0
U-551,1940,VIIC,NA,0,0,0,0,0,0,0,0,0,0,Sunk,1941-03-23,Depth charged by RN trawler,https://en.wikipedia.org/wiki/German_submarine_U-551,1940-11-07,1,NA,"{'7th U-boat Flotilla': ['7 November 1940 ', ' 23 March 1941']}",136,1,0
U-552,1940,VIIC,"Erich Topp,Siegfried Koitschka",2,1710,0,0,30,163756,3,26910,0,0,Scuttled,1945-05-05,NA,https://en.wikipedia.org/wiki/German_submarine_U-552,1940-12-04,15,"{'Brandenburg': ['15', '26 September 1941'], 'Stosstrupp': ['30 October', '4 November 1941'], 'Störtebecker': ['15', '19 November 1941'], 'Benecke': ['19', '22 November 1941'], 'Seydlitz': ['27 December 1941', '6 January 1942'], 'Zieten': ['6', '19 January 1942'], 'Endrass': ['12', '17 June 1942'], 'Wolf': ['13', '30 July 1942'], 'Pirat': ['30 July', '3 August 1942'], 'Steinbrinck': ['3', '4 August 1942'], 'Meise': ['11', '27 April 1943'], 'Star': ['27 April', '4 May 1943'], 'Fink': ['4', '6 May 1943'], 'Naab': ['12', '15 May 1943'], 'Donau 2': ['15', '19 May 1943'], 'Mosel': ['19', '24 May 1943'], 'Siegfried': ['22', '27 October 1943'], 'Siegfried 2': ['27', '30 October 1943'], 'Jahn': ['30 October', '2 November 1943'], 'Tirpitz 3': ['2', '8 November 1943'], 'Eisenhart 5': ['9', '15 November 1943']}","{'7th U-boat Flotilla': ['4 December 1940 ', ' 30 April 1944'], '22nd U-boat Flotilla': ['1 May 1944 ', ' February 1945']}",1613,1,1
U-553,1940,VIIC,Karl Thurmann,1,925,0,0,12,61390,2,15273,0,0,Missing,1943-01-20,Mechanical failure,https://en.wikipedia.org/wiki/German_submarine_U-553,1940-12-23,10,"{'West': ['13', '20 June 1941'], 'Grönland': ['10', '23 August 1941'], 'Kurfürst': ['23 August', '2 September 1941'], 'Seewolf': ['2', '13 September 1941'], 'Zieten': ['6', '22 January 1942'], 'Westwall': ['2', '12 March 1942'], 'York': ['12', '26 March 1942'], 'Pirat': ['29 July', '3 August 1942'], 'Draufgänger': ['29 November', '11 December 1942'], 'Landsknecht': ['19', '20 January 1943']}","{'7th U-boat Flotilla': ['23 December 1940 ', ' 30 November 1942'], '3rd U-boat Flotilla': ['1 December 1942 ', ' 20 January 1943']}",758,1,1
U-554,1940,VIIC,NA,0,0,0,0,0,0,0,0,0,0,Scuttled,1945-05-05,Training boat,https://en.wikipedia.org/wiki/German_submarine_U-554,1941-01-15,0,NA,"{'24th U-boat Flotilla': ['15 January 1941 ', ' 30 June 1944'], '22nd U-boat Flotilla': ['1 July 1944 ', ' 1 February 1945'], '31st U-boat Flotilla': ['1 February ', ' 5 May 1945']}",1571,1,0
U-555,1940,VIIC,NA,0,0,0,0,0,0,0,0,0,0,Surrendered,1945-05-03,Operation Deadlight,https://en.wikipedia.org/wiki/German_submarine_U-555,1941-01-30,0,NA,"{'24th U-boat Flotilla': ['30 January 1941 ', ' 30 November 1942'], '21st U-boat Flotilla': ['1 December 1942 ', ' March 1945']}",1554,1,0
U-556,1940,VIIC,Herbert Wohlfarth,0,0,0,0,6,29552,1,4986,0,0,Sunk,1941-06-27,"HMS Nasturtium, HMS Celandine and HMS Gladiolus",https://en.wikipedia.org/wiki/German_submarine_U-556,1941-02-06,2,"{'West': ['10', '20 May 1941']}","{'1st U-boat Flotilla': ['6 February ', ' 27 June 1941']}",141,1,1
U-557,1940,VIIC,"Gerd Kelbling,Herbert Werner",1,5220,0,0,6,31729,0,0,0,0,Sunk,1941-12-16,Accidentally rammed & sunk by Italian torpedo boat,https://en.wikipedia.org/wiki/German_submarine_U-557,1941-02-13,4,NA,"{'1st U-boat Flotilla': ['13 February ', ' 4 December 1941'], '29th U-boat Flotilla': ['5 ', ' 16 December 1941']}",306,1,1
U-558,1940,VIIC,Günther Krech,1,913,0,0,17,93186,2,15070,1,6672,Sunk,1943-07-20,RAF Halifax,https://en.wikipedia.org/wiki/German_submarine_U-558,1941-02-20,10,"{'Bosemüller': ['28 August', '2 September 1941'], 'Seewolf': ['2', '12 September 1941'], 'Delphin': ['24 January', '14 February 1943'], 'Rochen': ['16', '28 February 1943'], 'Tümmler': ['1', '22 March 1943'], 'Oder': ['17', '19 May 1943'], 'Mosel': ['19', '24 May 1943'], 'Trutz': ['1', '16 June 1943'], 'Trutz 1': ['16', '29 June 1943']}","{'1st U-boat Flotilla': ['20 February 1941 ', ' 20 July 1943']}",880,1,1
U-559,1941,VIIC,Hans Heidtmann,1,1060,0,0,4,11811,0,0,2,6117,Sunk,1942-10-30,"HMS Pakenham, HMS Petard, HMS Hero, HMS Dulverton, HMS Hurworth and RAF Sunderland",https://en.wikipedia.org/wiki/German_submarine_U-559,1941-02-27,10,"{'Goeben': ['20 September', '5 October 1941']}","{'1st U-boat Flotilla': ['27 February ', ' 31 October 1941'], '23rd U-boat Flotilla': ['1 November 1941 ', ' 14 April 1942'], '29th U-boat Flotilla': ['15 April ', ' 30 October 1942']}",610,1,1
U-560,1941,VIIC,NA,0,0,0,0,0,0,0,0,0,0,Scuttled,1945-05-03,Training boat,https://en.wikipedia.org/wiki/German_submarine_U-560,1941-03-06,0,NA,"{'24th U-boat Flotilla': ['6 March 1941 ', ' 30 November 1943'], '22nd U-boat Flotilla': ['1 December 1943 ', ' 28 February 1945'], '31st U-boat Flotilla': ['1 March ', ' 3 May 1945']}",1519,1,0
U-561,1941,VIIC,Robert Bartels,0,0,0,0,5,17146,1,4043,1,5062,Sunk,1943-07-12,RN MTB-81,https://en.wikipedia.org/wiki/German_submarine_U-561,1941-03-13,15,"{'Bosemüller': ['28 August', '2 September 1941'], 'Seewolf': ['2', '15 September 1941']}","{'1st U-boat Flotilla': ['13 March ', ' 31 January 1942'], '23rd U-boat Flotilla': ['1 February ', ' 12 July 1943']}",851,1,1
U-562,1941,VIIC,Horst Hamm,0,0,0,0,6,37287,1,3359,0,0,Sunk,1943-02-19,"HMS Isis, HMS Hursley & Wellington bomber",https://en.wikipedia.org/wiki/German_submarine_U-562,1941-03-20,10,"{'Bosemüller': ['28 August', '2 September 1941'], 'Brandenburg': ['15 September', '2 October 1941']}","{'1st U-boat Flotilla': ['20 March ', ' 31 December 1941'], '29th U-boat Flotilla': ['1 January 1942 ', ' 19 February 1943']}",701,1,1
U-563,1941,VIIC,Klaus Bargsten,1,1870,0,0,3,14689,2,16266,0,0,Sunk,1943-05-31,RAF & RAAF Halifax & Sunderland aircraft,https://en.wikipedia.org/wiki/German_submarine_U-563,1941-03-27,8,"{'Grönland': ['10', '23 August 1941'], 'Kurfürst': ['23 August', '2 September 1941'], 'Seewolf': ['2', '7 September 1941'], 'Breslau': ['4', '29 October 1941'], 'Panther': ['11', '16 October 1942'], 'Puma': ['16', '29 October 1942'], 'Falke': ['28 December 1942', '5 January 1943'], 'Löwenherz': ['1', '10 April 1943'], 'Lerche': ['10', '16 April 1943']}","{'1st U-boat Flotilla': ['27 March 1941 ', ' 31 May 1943']}",795,1,1
U-564,1941,VIIC,Reinhard Suhren,1,900,0,0,18,95544,4,28907,0,0,Sunk,1943-06-14,RAF Whitley depth charges,https://en.wikipedia.org/wiki/German_submarine_U-564,1941-04-03,9,"{'Brandenburg': ['16', '19 September 1941'], 'Breslau': ['2', '29 October 1941'], 'Natter': ['2', '8 November 1942'], 'Westwall': ['8', '16 December 1942'], 'Seeteufel': ['21', '30 March 1943'], 'Löwenherz': ['1', '10 April 1943']}","{'1st U-boat Flotilla': ['3 April ', ' 14 June 1943']}",802,1,1
